127.0.0.1 - - [03/Jan/2022:08:39:50 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:39:51 +0900] "GET /webpro/work/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:39:51 +0900] "GET /webpro/work/total.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:39:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/saleproc.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/section_article.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/work_images/nintendo/%EB%8B%8C%ED%83%A0%EB%8F%84%20%EC%8A%A4%EC%9C%84%EC%B9%98.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/work_images/%ED%8A%B9%EA%B0%80/%EC%86%8C%EB%8B%89.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/work_images/x-box/x-box.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/work_images/%ED%8A%B9%EA%B0%80/%ED%95%B4%EB%93%9C%EC%85%8B.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/work_images/%ED%8A%B9%EA%B0%80/%EB%A7%88%EB%A6%AC%EC%98%A4%ED%85%8C%EB%8B%88%EC%8A%A4.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:35 +0900] "GET /webpro/work/work_images/playstation/%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%85%985.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:36 +0900] "GET /webpro/work/playstation.html HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:36 +0900] "GET /webpro/work/work_images/playstation/%ED%94%BC%ED%8C%8C22.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:08:40:36 +0900] "GET /webpro/work/work_images/playstation/%EB%B0%B0%ED%8B%80%ED%95%84%EB%93%9C.PNG HTTP/1.1" 304 -
