127.0.0.1 - - [31/Dec/2021:08:50:23 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:25 +0900] "GET /webpro/work/main.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:25 +0900] "GET /webpro/work/total.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:25 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/playstation.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/section_article.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/work_images/playstation/%EC%9C%84%EC%B2%98.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/work_images/playstation/2k22.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/work_images/playstation/%EB%B0%B0%ED%8B%80%ED%95%84%EB%93%9C.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/work_images/playstation/%EB%9D%BC%EC%8A%A4%ED%8A%B8%20%EC%98%A4%EB%B8%8C%20%EC%96%B4%EC%8A%A4.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/work_images/playstation/%ED%94%BC%ED%8C%8C22.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:29 +0900] "GET /webpro/work/work_images/playstation/%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%85%985.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:30 +0900] "GET /webpro/work/nintendo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:30 +0900] "GET /webpro/work/work_images/nintendo/%EB%A7%88%EB%A6%AC%EC%98%A4%EC%B9%B4%ED%8A%B8.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:30 +0900] "GET /webpro/work/work_images/nintendo/%EB%8B%8C%ED%83%A0%EB%8F%84%20%EC%8A%A4%EC%9C%84%EC%B9%98.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:30 +0900] "GET /webpro/work/work_images/nintendo/%EC%8A%88%ED%8D%BC%EB%A7%88%EB%A6%AC%EC%98%A4%20%ED%8C%8C%ED%8B%B0.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:30 +0900] "GET /webpro/work/work_images/nintendo/%EB%89%B4%20%EC%8A%88%ED%8D%BC%EB%A7%88%EB%A6%AC%EC%98%A4%20%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2021:08:50:30 +0900] "GET /webpro/work/work_images/nintendo/%EB%8F%99%EB%AC%BC%EC%9D%98%EC%88%B2.PNG HTTP/1.1" 304 -
